Date;Open;High;Low;Close;Adj Close;Volume
01/04/2012;19,105;19,135;12,94;14,61;10,579056;44529315
01/05/2012;14,61;15,2;11,15;12,39;8,971562;37503463
01/06/2012;12,665;16,799999;12,25;16,665001;12,07597;37459784
01/07/2012;16,77;18,07;14,405;17,040001;12,347705;33483914
01/08/2012;17,055;19;16,17;17,285;12,525238;28234546
01/09/2012;17,295;21,915001;16,629999;18,67;13,528852;34828260
01/10/2012;18,379999;20,805;17,58;18,110001;13,123059;40485825
01/11/2012;18,105;23,65;17,955;23,165001;16,78607;37598056
01/12/2012;23,450001;26,775;21,700001;26,15;18,949089;40186821
01/01/2013;26,15;29,889999;25,57;29,035;21,039646;32627428
01/02/2013;28,514999;30,924999;26,4;28,41;20,586752;27690490
01/03/2013;28,24;30,25;26,25;26,870001;19,470823;23579242
01/04/2013;26,870001;30,5;26,129999;29,799999;21,593988;26952762
01/05/2013;29,799999;33,099998;29,23;30,690001;22,238911;26618294
01/06/2013;30,610001;31,74;27,004999;28,605;21,42061;21921017
01/07/2013;28,98;31,389999;27,32;30,15;22,577568;21246097
01/08/2013;30,360001;36,244999;30,26;33,279999;24,921438;27761158
01/09/2013;33,939999;37,540001;33,564999;36,314999;27,194176;21155672
01/10/2013;36,48;40,735001;36,48;40,150002;30,065983;19983853
01/11/2013;40,139999;42,299999;38,509998;42;31,45134;24605497
01/12/2013;42,195;42,34;38,130001;41,25;30,889708;15389602
01/01/2014;41,25;46,549999;40,23;43,855;32,840439;25440022
01/02/2014;43,73;46,369999;41,759998;45,98;34,431721;21690865
01/03/2014;44,605;46,139999;42,105;44,650002;33,435768;20696899
01/04/2014;44,799999;46,200001;41,189999;43,91;32,881618;18742944
01/05/2014;43,91;45,48;41,185001;43,669998;32,701904;20068685
01/06/2014;43,805;44,115002;38,310001;39,75;29,766445;21219066
01/07/2014;39,865002;42,240002;37,77;40,669998;30,455379;21209132
01/08/2014;40,619999;44,275002;39,169998;43,375;32,480995;20140723
01/09/2014;43,400002;44,790001;41,904999;42,165001;31,574894;19485798
01/10/2014;42,060001;43,349998;36,529999;42,75;32,012966;30995653
01/11/2014;42,57;46;39,959999;46;34,446701;23644258
01/12/2014;45,549999;46,939999;42,77;46,494999;34,817379;19258913
01/01/2015;46,494999;49,985001;43,990002;47,715;35,730961;24608354
01/02/2015;47,849998;54,939999;47,255001;54,220001;40,602177;19046262
01/03/2015;54,119999;58,470001;53,830002;57,560001;43,103306;17274854
01/04/2015;57,419998;60,080002;56,779999;58,880001;44,091778;16068190
01/05/2015;58,880001;62,48;55,330002;61,049999;45,716766;18126552
01/06/2015;61;62,470001;56,91;59,939999;46,467136;20367535
01/07/2015;60,5;65,43;56,349998;63,459999;49,195938;16309305
01/08/2015;63,5;66;52,349998;59,169998;45,870216;18782289
01/09/2015;58,990002;59,889999;54,84;56,369999;43,699585;16377429
01/10/2015;57,18;58,970001;51,41;55,400002;42,947617;20808692
01/11/2015;55;57,810001;52,919998;56,5;43,800358;18344498
01/12/2015;56,799999;58,669998;53,540001;57,669998;44,707375;13833407
01/01/2016;57,669998;57,98;49,415001;52,790001;40,924263;17416228
01/02/2016;53;53;44,145;48,900002;37,90863;27811373
01/03/2016;48,654999;51,98;45,119999;45,334999;35,144939;24571880
01/04/2016;44,93;50,130001;44,505001;49,029999;38,009407;20083596
01/05/2016;49,165001;53,880001;45,299999;53,209999;41,249851;22344405
01/06/2016;53,259998;53,830002;39,959999;43,919998;34,047993;30421622
01/07/2016;44,380001;46,775002;39,349998;46,485001;36,036453;24613761
01/08/2016;48;53,580002;44,084999;53,07;41,141331;19746517
01/09/2016;53,310001;55,060001;49,014999;51,82;40,172295;19216889
01/10/2016;51,849998;55,98;51,060001;55,509998;43,032879;17688204
01/11/2016;55,619999;60,580002;53,220001;56,580002;43,862377;21145037
01/12/2016;56,529999;61,450001;55,990002;58,830002;46,422501;17213051
01/01/2017;58,720001;62,299999;58,220001;60,02;47,361523;13881651
01/02/2017;60,52;61,419998;56,220001;57,740002;45,562386;16144701
01/03/2017;58,459999;64,790001;58,220001;62,189999;49,07386;19616166
01/04/2017;62,130001;66,870003;59,330002;66,279999;52,301266;18089724
01/05/2017;66,279999;70,980003;63,450001;66,980003;52,853634;19991345
01/06/2017;67,07;69,809998;62,939999;66,410004;53,783901;21336396
01/07/2017;66,839996;70,330002;66,139999;70;56,69136;14351253
01/08/2017;70,209999;71,339996;67,599998;69,029999;55,905777;12526000
01/09/2017;69,260002;72,5;67,349998;71,699997;58,06815;13040349
01/10/2017;71,480003;72,970001;70,949997;71,309998;57,752293;13542140
01/11/2017;71,699997;72,589996;66,68;68,730003;55,662819;18148598
01/12/2017;68,699997;72,5;68,07;71,110001;58,410233;13977621
01/01/2018;71,110001;78,800003;70,360001;77,400002;63,576889;14817850
01/02/2018;78;78,580002;71,379997;77,300003;63,494743;16144077
01/03/2018;77,099998;77,18;69,040001;70,720001;58,089878;15722442
01/04/2018;70,720001;74,040001;68,699997;72,400002;59,469845;11160159
01/05/2018;72,400002;73,080002;65,120003;66,199997;54,377117;17771410
01/06/2018;67,040001;68,68;64,620003;66,120003;55,864944;17489551
01/07/2018;65,599998;67,120003;63,919998;65,760002;55,560776;12811416
01/08/2018;65,900002;66,32;60,799999;60,959999;51,505245;14552034
01/09/2018;61,080002;67,720001;60,880001;64,099998;54,158237;16971720
01/10/2018;63,759998;67,199997;59,220001;60,900002;51,454556;17541995
01/11/2018;60,860001;64,260002;59,52;63,400002;53,566807;15846099
01/12/2018;64,5;64,68;54,66;56,68;48,681671;14189123
01/01/2019;56,68;61,119999;55,299999;59,279999;50,914772;14250976
01/02/2019;59,48;65,540001;58,02;65,120003;55,930672;16138954
01/03/2019;65,559998;65,839996;59,459999;62,279999;53,491432;16205712
